Short Name,Full Name,Faculty,Category,Instructors,TAs,Assessment title,Assessment type,Format,weight,Cumulative,due date,Specific objectives,Course Outcomes: all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 327 (Winter 2016 LEC B1 B2 SEM J1),PHARM 327 Wi16 - NUTRITION Combined LEC SEM Wi16,Cross Listed Courses,"Pharmaceutical Sciences,, Therapeutics,",Hoon Sunwoo,,Midterm,Exam,Multiple choice,50,,16-01-21,,"By the end of this course, students will be able to know and understand nutritional terminology, what a healthy diet is, macro/micro nutrient requirements, and the role of nutrients in health and disease states (obesity, diabetes, cardiovascular, osteoporosis, gut diseases, cancer, autoimmune-inflammatory diseases, and metabolic syndrome).","By the time students finish the course, they should be able to explain their learning and knowledge in the area of nutrition to others. This will be tested by multiple choices and short-answer exam questions.","By the end of this course, students will be able to develop an appreciation of the fundamental importance of nutrition.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 327 (Winter 2016 LEC B1 B2 SEM J1),PHARM 327 Wi16 - NUTRITION Combined LEC SEM Wi16,Cross Listed Courses,"Pharmaceutical Sciences,, Therapeutics,",Hoon Sunwoo,,FInal,Exam,Multiple choice,50,,16-02-12,,"By the end of this course, students will be able to know and understand nutritional terminology, what a healthy diet is, macro/micro nutrient requirements, and the role of nutrients in health and disease states (obesity, diabetes, cardiovascular, osteoporosis, gut diseases, cancer, autoimmune-inflammatory diseases, and metabolic syndrome).","By the time students finish the course, they should be able to explain their learning and knowledge in the area of nutrition to others. This will be tested by multiple choices and short-answer exam questions.","By the end of this course, students will be able to develop an appreciation of the fundamental importance of nutrition.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 497 (LEC B1 Wi16),PHARM 497 ENDOCRINE (LEC B1 Wi16),Faculty of Pharmacy and Pharmaceutical Sciences,,Candace Necyk,,Pre-Seminar Quiz 1,Quiz,Written and multiple choice,5,,16-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 497 (LEC B1 Wi16),PHARM 497 ENDOCRINE (LEC B1 Wi16),Faculty of Pharmacy and Pharmaceutical Sciences,,Candace Necyk,,Pre-Seminar Quiz 2,Quiz,Written and multiple choice,5,,16-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 497 (LEC B1 Wi16),PHARM 497 ENDOCRINE (LEC B1 Wi16),Faculty of Pharmacy and Pharmaceutical Sciences,,Candace Necyk,,Midterm,Exam,Written and multiple choice,40,,16-02-09,,Identify the main anatomy components of the endocrine system.,"Describe the physiological effects of the following: adrenal, thyroid, parathyroid, neurohypophyseal and pancreatic hormones.","Describe the epidemiology, etiology, and risk factors of endocrine disorders.","Describe the pathophysiology of endocrine disorders, including clinical presentation, symptomatology, and long-term health consequences.",Recognize the main structural features of drugs used to manage endocrine disorders.,Explain the pharmacologic effects of drugs used in the management of endocrine disorders.,Describe pharmacokinetic and pharmacodynamic principles to the treatment of endocrine disorders.,Describe the specific laboratory tests used in the diagnosis and monitoring of endocrine disorders.,"Describe the therapeutic approach incorporating non-pharmacologic and pharmacologic treatments to the prevention, treatment and management of endocrine disorders, including use of specific target drugs for condition as well as alternative therapies (dose, route of administration, length of therapy, monitoring parameters).","Recognize and understand the appropriate acute management strategies for patients with diabetes, including travel, exercise and acute illness.",Describe the toxicity of medications used in the management of endocrine disorders.,Identify ethical and cultural issues surrounding endocrine disorders.,Identify the role and the responsibility of the pharmacist within the course of the disease state and its therapy.,Identify applicable health system resources.,Identify and resolve clinically significant drug interactions.,"Select appropriate treatment for special groups (e.g., pediatrics, geriatrics, pregnant or lactating women).","Apply concepts and knowledge of medicinal chemistry, pharmacology, and therapeutic principles for pharmacologic management of endocrine disorders.",Identify actual and potential drug-related problems associated with pharmacologic management of endocrine disorders.,"Develop a patient care plan related to the care of patients with endocrine disorders, including appropriate monitoring and documentation.",Identify when to inform physicians and caregivers if there are danger signs apparent in the assessment.,Identify and retrieve appropriate sources of information needed to resolve drug related problems.,Use the principles of evidence-based medicine to critically evaluate the validity and applicability of information from various literature resources.,"Develop a caring, empathic attitude for patients experiencing of the conditions of primary focus.",Develop an appreciation of the interdisciplinary nature of patient care.,Accept responsibility for keeping abreast of emerging technologies and drugs.,,,,,,,,,,,,,,,,,,,,,,
PHARM 497 (LEC B1 Wi16),PHARM 497 ENDOCRINE (LEC B1 Wi16),Faculty of Pharmacy and Pharmaceutical Sciences,,Candace Necyk,,Pre-Seminar Quiz 3,Quiz,Written and multiple choice,5,,16-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 497 (LEC B1 Wi16),PHARM 497 ENDOCRINE (LEC B1 Wi16),Faculty of Pharmacy and Pharmaceutical Sciences,,Candace Necyk,,Final,Exam,Written and multiple choice,45,,16-04-11,,Identify the main anatomy components of the endocrine system.,"Describe the physiological effects of the following: adrenal, thyroid, parathyroid, neurohypophyseal and pancreatic hormones.","Describe the epidemiology, etiology, and risk factors of endocrine disorders.","Describe the pathophysiology of endocrine disorders, including clinical presentation, symptomatology, and long-term health consequences.",Recognize the main structural features of drugs used to manage endocrine disorders.,Explain the pharmacologic effects of drugs used in the management of endocrine disorders.,Describe pharmacokinetic and pharmacodynamic principles to the treatment of endocrine disorders.,Describe actions and adverse effects of common natural health products used for management of endocrine disorders.,Describe the specific laboratory tests used in the diagnosis and monitoring of endocrine disorders.,"Describe the therapeutic approach incorporating non-pharmacologic and pharmacologic treatments to the prevention, treatment and management of endocrine disorders, including use of specific target drugs for condition as well as alternative therapies (dose, route of administration, length of therapy, monitoring parameters).","Recognize and understand the appropriate acute management strategies for patients with diabetes, including travel, exercise and acute illness.",Describe the toxicity of medications used in the management of endocrine disorders.,Identify ethical and cultural issues surrounding endocrine disorders.,Identify the role and the responsibility of the pharmacist within the course of the disease state and its therapy.,Identify applicable health system resources.,Identify and resolve clinically significant drug interactions.,"Select appropriate treatment for special groups (e.g., pediatrics, geriatrics, pregnant or lactating women).","Apply concepts and knowledge of medicinal chemistry, pharmacology, and therapeutic principles for pharmacologic management of endocrine disorders.",Identify actual and potential drug-related problems associated with pharmacologic management of endocrine disorders.,"Develop a patient care plan related to the care of patients with endocrine disorders, including appropriate monitoring and documentation.",Identify when to inform physicians and caregivers if there are danger signs apparent in the assessment.,Identify and retrieve appropriate sources of information needed to resolve drug related problems.,Use the principles of evidence-based medicine to critically evaluate the validity and applicability of information from various literature resources.,"Develop a caring, empathic attitude for patients experiencing of the conditions of primary focus.",Develop an appreciation of the interdisciplinary nature of patient care.,Accept responsibility for keeping abreast of emerging technologies and drugs.,,,,,,,,,,,,,,,,,,,,,
PHARM 334 (Winter 2016 LEC B1 SEM J1 J2),PHARM 334 Wi16 - HLTH PROF COMM PART 2 Combined LEC SEM Wi16,Cross Listed Courses,"Pharmacy Practice,, Behavioural, Social and Administrative Sciences",Lisa Guirguis,,Learning Opportunities (On-going),Participation,N/A,10,,16-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 334 (Winter 2016 LEC B1 SEM J1 J2),PHARM 334 Wi16 - HLTH PROF COMM PART 2 Combined LEC SEM Wi16,Cross Listed Courses,"Pharmacy Practice,, Behavioural, Social and Administrative Sciences",Lisa Guirguis,,Lab Reflection,Assignment,N/A,10,,16-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 334 (Winter 2016 LEC B1 SEM J1 J2),PHARM 334 Wi16 - HLTH PROF COMM PART 2 Combined LEC SEM Wi16,Cross Listed Courses,"Pharmacy Practice,, Behavioural, Social and Administrative Sciences",Lisa Guirguis,,Lab Exam,Exam,Multiple choice,50,,16-03-07,,Explain the importance of stress management in professional life,Understand purpose for talking with a patient about new medication vs ongoing therapy,Describe the elements of a medication history,"Compare and contrast concordance, compliance, and adherence frameworks ",Identify supportive communication techniques to assess patients medication to assess med taking behaviours and detect barriers,Compare and contrast intentional and unintentional medication taking behaviours ,Appreciate patient perspective in living with vision loss.,Appreciate patient perspective in living with hearing loss.,Differentiate strategies to communicate with patients with hearing and hearing loss. ,Identify communication challenges associated with providing care to a patient whose first language is not English. ,Understand effective patient education skills,Describe the appropriate process for working with an interpreter in a healthcare setting. ,Understand the complexity of communicating risk to patients,Identify several strategies for effectively communicating risk,Describe the SBAR technique for communicating with other healthcare professionals,Identify a process to manage emotional consults,Identify core principles and key skills of motivational interviewing,Practice self-care activities to manage stress in professional life,Detect barriers to patients medication taking behaviors using supportive probing techniques ,Develop strategies to help patients overcome barriers to taking their medications,"Recognize verbal and nonverbal cues signaling anger, conflict, and lack of trust ","Demonstrate appropriate techniques for dealing with anger, conflict, and lack of trust ",Communicate effectively with people with vision or hearing loss,Communicate effectively using a translator ,Select and integrate communication techniques to effectively communicate risk to patients,Select and integrate communication techniques to effectively communicate with other healthcare professionals.,Engage in effective partnerships with their patients to support positive behaviour changes,Perform rapid assessments of their patients readiness for change,Help patients to increase motivation and overcome barriers to change,Recognize prior encounters with the patient (if applicable),Provide tailored information (verbal and written),Provide clear patient information in manageable chunks,Relate explanation to patients experiences and understandings,Check for patient understanding of medication information ,"Invite follow-up includes who, how, and when",Establish organization and flow while taking a full medication history,Listen and adapt to patient cues in differing patient scenarios,Reflect on your communication skills,Accept responsibility for communicating professionally through both student and professional career ,Accept responsibility for providing patient care ,Foster curiosity to understand and appreciate your patients unique life experience,Advocate for pharmacists role in monitoring medication therapy at the medication refill,,,,,
PHARM 334 (Winter 2016 LEC B1 SEM J1 J2),PHARM 334 Wi16 - HLTH PROF COMM PART 2 Combined LEC SEM Wi16,Cross Listed Courses,"Pharmacy Practice,, Behavioural, Social and Administrative Sciences",Lisa Guirguis,,Written Final,Exam,Multiple choice,30,,16-03-11,,Explain the importance of stress management in professional life,Understand purpose for talking with a patient about new medication vs ongoing therapy,Describe the elements of a medication history,"Compare and contrast concordance, compliance, and adherence frameworks ",Identify supportive communication techniques to assess patients medication to assess med taking behaviours and detect barriers,Compare and contrast intentional and unintentional medication taking behaviours ,Appreciate patient perspective in living with vision loss.,Appreciate patient perspective in living with hearing loss.,Differentiate strategies to communicate with patients with hearing and hearing loss. ,Identify communication challenges associated with providing care to a patient whose first language is not English. ,Understand effective patient education skills,Describe the appropriate process for working with an interpreter in a healthcare setting. ,Understand the complexity of communicating risk to patients,Identify several strategies for effectively communicating risk,Describe the SBAR technique for communicating with other healthcare professionals,Identify a process to manage emotional consults,Identify core principles and key skills of motivational interviewing,Practice self-care activities to manage stress in professional life,Detect barriers to patients medication taking behaviors using supportive probing techniques ,Develop strategies to help patients overcome barriers to taking their medications,"Recognize verbal and nonverbal cues signaling anger, conflict, and lack of trust ","Demonstrate appropriate techniques for dealing with anger, conflict, and lack of trust ",Communicate effectively with people with vision or hearing loss,Communicate effectively using a translator ,Select and integrate communication techniques to effectively communicate risk to patients,Select and integrate communication techniques to effectively communicate with other healthcare professionals.,Engage in effective partnerships with their patients to support positive behaviour changes,Perform rapid assessments of their patients readiness for change,Help patients to increase motivation and overcome barriers to change,Recognize prior encounters with the patient (if applicable),Provide tailored information (verbal and written),Provide clear patient information in manageable chunks,Relate explanation to patients experiences and understandings,Check for patient understanding of medication information ,"Invite follow-up includes who, how, and when",Establish organization and flow while taking a full medication history,Listen and adapt to patient cues in differing patient scenarios,Reflect on your communication skills,Accept responsibility for communicating professionally through both student and professional career ,Accept responsibility for providing patient care ,Foster curiosity to understand and appreciate your patients unique life experience,Advocate for pharmacists role in monitoring medication therapy at the medication refill,,,,,
PHARM 342 (Winter 2016 LAB LEC SEM),PHARM 342 Wi16 - DRUG USE & PATIENT CARE Combined LAB LEC SEM Wi16,Cross Listed Courses,"Pharmacy Practice,",Ravina Sanghera-Grewal,,Lab #2 evaluation,Other,N/A,5,,16-02-08,,Identify the basic process requirements in utilizing the Patient Care Process: a. Construct a patient care database b. Identify the drug related problem c. Manage a patient care profile electronically,Explain the basic concepts and principles applicable to professional responsibilities in the drug use control process and patient care interactions.,Identify federal and provincial pharmacy legislation with respect to the appropriate handling of drug products ,Identify legal requirements when accepting/receiving written & verbal prescriptions.,"Discuss how the medication-dispensing process intersects with the patient care process, and the respective roles of pharmacists, pharmacy students and pharmacy technicians and pharmacy technician students.",Identify and document potential medication prescribing errors in written and verbal prescriptions.,Apply relevant components of the Patient Care Process model to pharmacy practice.,"Demonstrate effective communication in clarifying prescription orders, providing drug information, documentation of errors and interacting with health care professionals and patients.",Utilize critical thinking in the problem solving process.,"Accurately process written and verbal prescriptions, meeting all legal and technical requirements for medications.",Demonstrate competency of the prescription processing software (KROLL).,"Function efficiently within the simulated pharmacy, both independently and within a group.",Complete an accurate patient record by gathering medication history and other relevant information.,"Demonstrate a responsible, caring, and professional attitude towards the profession of pharmacy, students, patients, and health care professionals.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 342 (Winter 2016 LAB LEC SEM),PHARM 342 Wi16 - DRUG USE & PATIENT CARE Combined LAB LEC SEM Wi16,Cross Listed Courses,"Pharmacy Practice,",Ravina Sanghera-Grewal,,Lab #3 evaluation,Other,N/A,5,,16-02-22,,Identify the basic process requirements in utilizing the Patient Care Process: a. Construct a patient care database b. Identify the drug related problem c. Manage a patient care profile electronically,Explain the basic concepts and principles applicable to professional responsibilities in the drug use control process and patient care interactions.,Identify federal and provincial pharmacy legislation with respect to the appropriate handling of drug products ,Identify legal requirements when accepting/receiving written & verbal prescriptions.,"Discuss how the medication-dispensing process intersects with the patient care process, and the respective roles of pharmacists, pharmacy students and pharmacy technicians and pharmacy technician students.",Identify and document potential medication prescribing errors in written and verbal prescriptions.,Apply relevant components of the Patient Care Process model to pharmacy practice.,"Demonstrate effective communication in clarifying prescription orders, providing drug information, documentation of errors and interacting with health care professionals and patients.",Utilize critical thinking in the problem solving process.,"Accurately process written and verbal prescriptions, meeting all legal and technical requirements for medications.",Demonstrate competency of the prescription processing software (KROLL).,"Function efficiently within the simulated pharmacy, both independently and within a group.",Complete an accurate patient record by gathering medication history and other relevant information.,"Demonstrate a responsible, caring, and professional attitude towards the profession of pharmacy, students, patients, and health care professionals.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 342 (Winter 2016 LAB LEC SEM),PHARM 342 Wi16 - DRUG USE & PATIENT CARE Combined LAB LEC SEM Wi16,Cross Listed Courses,"Pharmacy Practice,",Ravina Sanghera-Grewal,,Midterm,Exam,Written and multiple choice,25,,16-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 342 (Winter 2016 LAB LEC SEM),PHARM 342 Wi16 - DRUG USE & PATIENT CARE Combined LAB LEC SEM Wi16,Cross Listed Courses,"Pharmacy Practice,",Ravina Sanghera-Grewal,,Lab #4 evaluation,Other,N/A,5,,16-02-29,,Identify the basic process requirements in utilizing the Patient Care Process: a. Construct a patient care database b. Identify the drug related problem c. Manage a patient care profile electronically,Explain the basic concepts and principles applicable to professional responsibilities in the drug use control process and patient care interactions.,Identify federal and provincial pharmacy legislation with respect to the appropriate handling of drug products ,Identify legal requirements when accepting/receiving written & verbal prescriptions.,"For each component in the patient care process, describe the related activities and responsibilities of pharmacists, pharmacy students, interns, and pharmacy technicians.","Discuss how the medication-dispensing process intersects with the patient care process, and the respective roles of pharmacists, pharmacy students and pharmacy technicians and pharmacy technician students.",Identify and document potential medication prescribing errors in written and verbal prescriptions.,Apply concepts of third party billing and prescription pricing in the drug use process.,Recognize issues surrounding drug diversion and security.,Demonstrate an introductory level of adverse drug reporting and management.,Relate the concepts of the culture of patient safety to the drug use process.,Apply relevant components of the Patient Care Process model to pharmacy practice.,"Demonstrate effective communication in clarifying prescription orders, providing drug information, documentation of errors and interacting with health care professionals and patients.",Utilize critical thinking in the problem solving process.,"Accurately process written and verbal prescriptions, meeting all legal and technical requirements for medications.",Demonstrate competency of the prescription processing software (KROLL).,"Function efficiently within the simulated pharmacy, both independently and within a group.",Complete an accurate patient record by gathering medication history and other relevant information.,"Document search process for drug information questions, citing references used.",Communicate effectively when having a dialogue with a simulated patient and other health care practitioners,"Demonstrate a responsible, caring, and professional attitude towards the profession of pharmacy, students, patients, and health care professionals.",,,,,,,,,,,,,,,,,,,,,,,,,,
