Short Name,Full Name,Year,Term,Faculty,Course Types,Credits,Instructors,TAs,Assessment count,Session count,Course outcomes: all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 327 (Winter 2016 LEC B1 B2 SEM J1),PHARM 327 Wi16 - NUTRITION Combined LEC SEM Wi16,2016,Winter,Cross Listed Courses,"Pharmaceutical Sciences,, Therapeutics,",,Hoon Sunwoo,,2,26,"By the end of this course, students will be able to know and understand nutritional terminology, what a healthy diet is, macro/micro nutrient requirements, and the role of nutrients in health and disease states (obesity, diabetes, cardiovascular, osteoporosis, gut diseases, cancer, autoimmune-inflammatory diseases, and metabolic syndrome).","By the time students finish the course, they should be able to explain their learning and knowledge in the area of nutrition to others. This will be tested by multiple choices and short-answer exam questions.","By the end of this course, students will be able to develop an appreciation of the fundamental importance of nutrition.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 497 (LEC B1 Wi16),PHARM 497 ENDOCRINE (LEC B1 Wi16),2016,Winter,Faculty of Pharmacy and Pharmaceutical Sciences,,,Candace Necyk,,5,21,Identify the main anatomy components of the endocrine system.,"Describe the physiological effects of the following: adrenal, thyroid, parathyroid, neurohypophyseal and pancreatic hormones.","Describe the epidemiology, etiology, and risk factors of endocrine disorders.","Describe the pathophysiology of endocrine disorders, including clinical presentation, symptomatology, and long-term health consequences.",Recognize the main structural features of drugs used to manage endocrine disorders.,Explain the pharmacologic effects of drugs used in the management of endocrine disorders.,Describe pharmacokinetic and pharmacodynamic principles to the treatment of endocrine disorders.,Describe actions and adverse effects of common natural health products used for management of endocrine disorders.,Describe the specific laboratory tests used in the diagnosis and monitoring of endocrine disorders.,"Describe the therapeutic approach incorporating non-pharmacologic and pharmacologic treatments to the prevention, treatment and management of endocrine disorders, including use of specific target drugs for condition as well as alternative therapies (dose, route of administration, length of therapy, monitoring parameters).","Recognize and understand the appropriate acute management strategies for patients with diabetes, including travel, exercise and acute illness.",Describe the toxicity of medications used in the management of endocrine disorders.,Identify ethical and cultural issues surrounding endocrine disorders.,Identify the role and the responsibility of the pharmacist within the course of the disease state and its therapy.,Identify applicable health system resources.,"Apply concepts and knowledge of medicinal chemistry, pharmacology, and therapeutic principles for pharmacologic management of endocrine disorders.",Identify actual and potential drug-related problems associated with pharmacologic management of endocrine disorders.,"Develop a patient care plan related to the care of patients with endocrine disorders, including appropriate monitoring and documentation.",Identify and resolve clinically significant drug interactions.,"Select appropriate treatment for special groups (e.g., pediatrics, geriatrics, pregnant or lactating women).",Identify when to inform physicians and caregivers if there are danger signs apparent in the assessment.,Identify and retrieve appropriate sources of information needed to resolve drug related problems.,Use the principles of evidence-based medicine to critically evaluate the validity and applicability of information from various literature resources.,"Develop a caring, empathic attitude for patients experiencing of the conditions of primary focus.",Develop an appreciation of the interdisciplinary nature of patient care.,Accept responsibility for keeping abreast of emerging technologies and drugs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 334 (Winter 2016 LEC B1 SEM J1 J2),PHARM 334 Wi16 - HLTH PROF COMM PART 2 Combined LEC SEM Wi16,2016,Winter,Cross Listed Courses,"Pharmacy Practice,, Behavioural, Social and Administrative Sciences",,Lisa Guirguis,,4,20,Explain the importance of stress management in professional life,Understand purpose for talking with a patient about new medication vs ongoing therapy,Describe the elements of a medication history,"Compare and contrast concordance, compliance, and adherence frameworks ",Identify supportive communication techniques to assess patients medication to assess med taking behaviours and detect barriers,Compare and contrast intentional and unintentional medication taking behaviours ,Appreciate patient perspective in living with vision loss.,Appreciate patient perspective in living with hearing loss.,Differentiate strategies to communicate with patients with hearing and hearing loss. ,Identify communication challenges associated with providing care to a patient whose first language is not English. ,Understand effective patient education skills,Describe the appropriate process for working with an interpreter in a healthcare setting. ,Understand the complexity of communicating risk to patients,Identify several strategies for effectively communicating risk,Describe the SBAR technique for communicating with other healthcare professionals,Identify a process to manage emotional consults,Identify core principles and key skills of motivational interviewing,Practice self-care activities to manage stress in professional life,Detect barriers to patients medication taking behaviors using supportive probing techniques ,Develop strategies to help patients overcome barriers to taking their medications,"Recognize verbal and nonverbal cues signaling anger, conflict, and lack of trust ","Demonstrate appropriate techniques for dealing with anger, conflict, and lack of trust ",Communicate effectively with people with vision or hearing loss,Communicate effectively using a translator ,Select and integrate communication techniques to effectively communicate risk to patients,Select and integrate communication techniques to effectively communicate with other healthcare professionals.,Engage in effective partnerships with their patients to support positive behaviour changes,Perform rapid assessments of their patients readiness for change,Help patients to increase motivation and overcome barriers to change,Recognize prior encounters with the patient (if applicable),Provide tailored information (verbal and written),Provide clear patient information in manageable chunks,Relate explanation to patients experiences and understandings,Check for patient understanding of medication information ,"Invite follow-up includes who, how, and when",Establish organization and flow while taking a full medication history,Listen and adapt to patient cues in differing patient scenarios,Reflect on your communication skills,Accept responsibility for communicating professionally through both student and professional career ,Accept responsibility for providing patient care ,Foster curiosity to understand and appreciate your patients unique life experience,Advocate for pharmacists role in monitoring medication therapy at the medication refill,,,,,,,,,,,,,,,,
PHARM 342 (Winter 2016 LAB LEC SEM),PHARM 342 Wi16 - DRUG USE & PATIENT CARE Combined LAB LEC SEM Wi16,2016,Winter,Cross Listed Courses,"Pharmacy Practice,",,Ravina Sanghera-Grewal,,7,64,Identify the basic process requirements in utilizing the Patient Care Process: a. Construct a patient care database b. Identify the drug related problem c. Manage a patient care profile electronically,Explain the basic concepts and principles applicable to professional responsibilities in the drug use control process and patient care interactions.,Identify federal and provincial pharmacy legislation with respect to the appropriate handling of drug products ,Identify legal requirements when accepting/receiving written & verbal prescriptions.,"For each component in the patient care process, describe the related activities and responsibilities of pharmacists, pharmacy students, interns, and pharmacy technicians.","Discuss how the medication-dispensing process intersects with the patient care process, and the respective roles of pharmacists, pharmacy students and pharmacy technicians and pharmacy technician students.",Identify and document potential medication prescribing errors in written and verbal prescriptions.,Apply concepts of third party billing and prescription pricing in the drug use process.,Recognize issues surrounding drug diversion and security.,Demonstrate an introductory level of adverse drug reporting and management.,Relate the concepts of the culture of patient safety to the drug use process.,Apply relevant components of the Patient Care Process model to pharmacy practice.,"Demonstrate effective communication in clarifying prescription orders, providing drug information, documentation of errors and interacting with health care professionals and patients.",Utilize critical thinking in the problem solving process.,"Accurately process written and verbal prescriptions, meeting all legal and technical requirements for medications.",Demonstrate competency of the prescription processing software (KROLL).,"Function efficiently within the simulated pharmacy, both independently and within a group.",Complete an accurate patient record by gathering medication history and other relevant information.,"Document search process for drug information questions, citing references used.",Communicate effectively when having a dialogue with a simulated patient and other health care practitioners,"Demonstrate a responsible, caring, and professional attitude towards the profession of pharmacy, students, patients, and health care professionals.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 372 (LEC A1 Fa16),PHARM 372 PHARMACY MANAGEMENT (LEC A1 Fa16),2016,Fall,Faculty of Pharmacy and Pharmaceutical Sciences,BSc in Pharmacy,2,Jody Shkrobot,,9,14,"Clarify roles, responsibilities and expertise of team members, identifying overlaps and gaps.",Apply regulatory and profession best practices to manage the distribution of medications in a variety of practice settings.,"Evaluate factors critical to safe and efficient medication distribution systems including pharmacy layout, workflow, technology and automation.",Evaluate the quality of care and the cost effectiveness of services they provide.,"Disclose, manage and report errors, incidents and unsafe practices.",Ensure that pharmacy technicians and staff are delegated and undertake functions appropriate to their training and legislation.,"Apply best practices in staff selection, training, development and evaluation.",Critique the impact of funding and payment policies on the provision of professional services.,Describe strategic planning principles.,Describe marketing principles in the context of supply and demand for professional services.,Utilize inventory control concepts to maintain an inventory control system.,Create a business plan for the provision of professional services.,Help maintain a healthy work environment and assist with conflict management.,"Make their points of view known, listen to and respect the opinions of others, defend points of view if necessary.","Contribute to planning, organizing and performing of work to be done, and integrating evidence while evaluating the results.","Support continued efforts of the group by providing positive feedback, including evidence of progress and impact.","Set priorities and manage their time to balance patient care, workflow and practice requirements.",Adapt their practice to fulfill evolving professional roles.,"Anticipate, recognize and manage human, environmental and medication distribution situations that place patients at risk.","Supervise members of the pharmacy team, including pharmacy technicians, to ensure competent performance of functions.",Develop a willingness to accept leadership roles where appropriate.,Develop a willingness to respect the rules established by the group.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 311 (LEC A1 Fa16),PHARM 311 RADIOPHARM/DIAGNOSTIC IMAGING (LEC A1 Fa16),2016,Fall,Faculty of Pharmacy and Pharmaceutical Sciences,BSc in Pharmacy,1,Arno G. Siraki,,4,15,"This module has been designed to familiarize pharmacy students with basic principles of diagnostic imaging, with emphasis on the use of radiation and radioactive drugs and contrast agents in medical diagnosis and therapy. The biological effects of radiation are presented from the viewpoint of a pharmacist's perspective as a health sciences team member.","Following this course, students should be able to interpret the labels on radiopharmaceuticals; perform simple calculations related to radioactive decay.",To consider the various types of radiation and their characteristics and interactions with matter from the viewpoint of how these factors: Influence the utility of different radiations for clinical diagnosis or for therapy; Can present a health hazard from improper use or handling; Determine the methods of radiation detection and measurement,To present the basic principles underlying the biological effects observed with exposure to various levels of radioactivity.,To illustrate the rationale for the use of radioactive drugs and contrast agents for diagnosis by discussing: the various agents presently available from commercial suppliers; the physiological basis of their utility and clinical applications; their formulation and manufacture; methods of quality control and dispensing and inventory control. The use of radioactive drugs for therapy will be examined.,"To illustrate ""radiopharmaceutical kits"", and radionuclide generators for daily preparation of short-lived radiopharmaceuticals in a hospital.",To indicate the levels of radiation dose received from common radiopharmaceutical diagnostic procedures and the inherent dangers with contrast materials and to place these into a benefit vs. risk concept.,"To develop a basic understanding of the contemporary diagnostic imaging modalities, including nuclear medicine imaging, x-ray, CT, ultrasound, and MRI, and an understanding of the nature of the clinical information provided by each modality","To acquaint students with basic physical fundamentals regarding concepts of radioactivity, rates and types of radioactive decay; units of radiation; biological effects of radiation â€“ toxicity and therapy; free radical formation and detoxification; diagnostic imaging techniques, instrumentation, and utilization of radiopharmaceuticals.","This course will provide pharmacists with fundamental knowledge of contemporary clinical imaging modalities, including the use of radiopharmaceuticals and contrast agents in clinical diagnosis and therapy. Such a basic understanding will enable pharmacists, as members of a Health Team, to communicate knowledgeably with physicians, nurses, technicians and patients regarding the use of various imaging techniques. Emphasis will be placed on radiopharmaceuticals and contrast agents used with these procedures. The use of radioactive materials for in vitro and in vivo tests, and for radiation therapy, will be addressed. An understanding of the general principles underlying the biologic effects of various levels of radiation will assist the pharmacist in allaying patients' fears and misapprehensions regarding radioactivity.","This course will provide general knowledge regarding diagnostic imaging and radioactivity, and will allow the pharmacist to place a proper perspective on such common concerns in a community as: Radiation safety in general; Biological hazards of radioactive material and installations utilizing radioactivity (eg. xray units) in hospitals and in the community; Risk â€“ benefit concepts in diagnostic imaging; General familiarity with imaging techniques/underlying principles.","This course will provide a basis for further training (either formally or on-the-job) which will provide the expertise for safe and effective handling, preparation and dispensing of radiopharmaceuticals and maintaining proper quality control and inventory.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 307 (Winter 2016 LAB LEC SEM),"PHARM 307 Wi16 - DERMATOL/EYE,NOSE,THROAT Combined LAB LEC SEM Wi16",2016,Winter,Cross Listed Courses,"Therapeutics,",,Ravina Sanghera-Grewal,,10,41,"Describe the epidemiology, etiology, and risk factors for the conditions of primary focus. ","Explain the anatomy of the integumentary system, eye, ear, nose and throat. ","Describe the physiology of the skin, eyes, ears, nose and throat.",Explain the physical conditions that lead to skin breakdown and wound development.,Describe the physiology of chronic wound healing.,Describe the pathophysiology of the primary focus conditions including clinical presentation and symptoms and long term health consequences.,"Describe the mechanisms, pathophysiology and clinical presentation of various drug-induced topical reactions.",Relate differences in pharmaceutical vehicles for topical or transdermal drug delivery.,Describe the specific laboratory tests used in the monitoring of isotretinoin.,"Describe the therapeutic approach incorporating non-pharmacologic and pharmacologic treatments of the primary focus conditions including use of specific target drugs for condition as well as alternative therapies (dose, route of administration, length of therapy, monitoring parameters).",Describe and manage the toxicity of medications used in the management of the primary focus conditions,Describe the societal and economic impact of the primary focus conditions.,Identify ethical issues surrounding treatment of the primary focus conditions,Identify the role and the responsibility of the pharmacist within the course of the disease state and its therapy.,Identify applicable health system resources,For the conditions described the student should:, obtain a relevant history from a patient.," review the presenting signs and symptoms of conditions relating to the skin, eyes, ears, nose and throat.", describe criteria used to make the diagnosis and to be able to relate the severity of the disease.," discuss the therapeutic options with patient, including risks and benefits, and medication and alternative therapy choices", apply and demonstrate appropriate counseling and communication with patients, follow appropriate monitoring parameters, recommend appropriate changes to therapy based on patient outcomes and monitoring parameters,"Apply concepts and knowledge of medicinal chemistry, pharmacology and therapeutic principles in selecting and monitoring drug therapy for the management of the primary focus conditions.","Design simple pharmaceutical care plans including alternatives (drug, non-drug, referral, reassurance), recommendations, implementation, monitoring and follow up for patients with the primary focus conditions.",Identify actual and potential drug related problems relating to the primary focus conditions and in various patient cases.,Manage clinically significant drug interactions with drugs used to treat the primary focus conditions.,"Demonstrate appropriate physical assessment skills relating to acne, dry skin, eczema and psoriasis.",Refer patients to medical attention as appropriate.,"Counsel patients on the use of therapies (non-pharmacologic, Rx and OTC) in the primary focus conditions.","Select appropriate treatment for special groups (pediatrics, elderly, pregnancy, lactation).",Identify when to inform physicians and caregivers if there are danger signs apparent in the assessment.,"Recognize the integration of knowledge of therapeutics with medicinal chemistry and pharmacology required to develop rational treatment decisions for therapy, evaluation and monitoring.","Recall, select and apply appropriate knowledge and skills to establish safe and effective drug use.",Utilize an evidence-based approach to therapeutic management of the primary focus conditions.,Apply an evidence-based approach to complementary medicine.,Evaluate and interpret literature with respect to existing and new dosage forms, Identify and locate sources of information needed to solve a problem , Critically evaluate the appropriateness and reliability of information from literature resources, Synthesize information gained from various literature resources to solve problems or make recommendations ,Be aware of recent trends in development of new drug delivery systems.,Utilize self-directed learning abilities to synthesize a well-researched review of a non-prescription product. ,Interpret scientific literature to make a clinical recommendation.,"Develop a caring, empathic attitude for patients experiencing the primary focus conditions.",Work effectively within the healthcare team.,Develop an appreciation of the interdisciplinary nature of patient care,Accept responsibility for keeping abreast of emerging technologies and drugs.,,,,,,,,,,,
PHARM 377 (LEC B1 Wi16),PHARM 377 IMMUNOTHERAPEUTIC & TRANSPLANT (LEC B1 Wi16),2016,Winter,Faculty of Pharmacy and Pharmaceutical Sciences,,,Dr. Sharon Mitchell,,2,11,Understand the pathophysiology of transplanted organ rejection.,Understand the mechanisms of action and effects and adverse effects of anti-Â_â€êrejection medication.,Understand and apply pharmacokinetic principles in the management of anti-Â_â€êrejection medications.,Understand the rationale for combination anti-Â_â€êrejection therapy following organ transplantation.,"Understand problems associated with opportunistic infections, malignancy, metabolic effects and adverse drug effects associated with immunosuppression.",Understand issues related to organ donation,Recognize and manage immunosuppression and toxicity induced by anti-Â_â€êrejection therapy.,Recognize and be able to manage drug interactions with anti-Â_â€êrejection therapy.,Adjust dosages of anti-Â_â€êrejection therapy based on drug levels and therapeutic targets.,To develop an understanding of the patient perspective of receiving a transplant.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 367 (Winter 2016 LEC B1 B2),PHARM 367 Wi16 - CARDIOLOGY Combined LEC Wi16,2016,Winter,Cross Listed Courses,"Therapeutics,",,John Seubert,,7,34,"Describe the epidemiology, etiology, and risk factors of the conditions of primary focus.",Explain the anatomy of the heart and great blood vessels.,"Discuss the physiology of the blood supply, lymphatic system and cardiovascular system of the human body.",Describe the pathophysiology of the conditions of primary focus including clinical presentation and symptomatology and long term health consequences.,"Explain various basic cardiovascular measurements including: Heart sounds, Blood Pressure, Heart Rate, CXR, ECG, Ejection fraction","Describe medicinal chemistry, pharmacology and therapeutic principles applicable to selecting and monitoring drug therapy for the management of the conditions of primary focus.",Describe pharmacokinetic and pharmacodynamic principles applicable to the treatment of the conditions of primary focus.,Explain the effects of drugs used in the management of the conditions of primary focus.,Describe the specific laboratory tests used in the diagnosis and monitoring of the conditions of primary focus,"Describe the therapeutic approach incorporating non-pharmacologic and pharmacologic treatments of the conditions of primary focus including use of specific target drugs for condition as well as alternative therapies (dose, route of administration, length of therapy, monitoring parameters)",Describe how to manage the toxicity of cardiac medications,Describe the societal and economic impact of the conditions of primary focus,Identify ethical issues surrounding treatment of the conditions of primary focus,Identify the role and the responsibility of the pharmacist within the course of the disease state and its therapy.,Identify applicable health system resources,Obtain a relevant history from a patient,Review the presenting signs and symptoms of the conditions of primary focus and describe criteria used to make the diagnosis and to be able to relate the severity of the disease,"Discuss the therapeutic options with patient, including risks and benefits, and medication and alternative therapy choices",Apply and demonstrate appropriate counseling and communication with patients,Follow appropriate monitoring parameters,Recommend appropriate changes to therapy based on patient outcomes and monitoring parameters,"Design pharmaceutical care plans including alternatives (drug, non-drug, referral, reassurance), recommendations, implementation, monitoring and follow up for patients with the conditions of primary focus.",Identify actual and potential drug related problems relating the conditions of primary focus and in various patient cases.,Manage clinically significant drug interactions with drugs used to treat the conditions of primary focus.,"Make rational, safe and effective drug treatment decisions for therapy, evaluation and monitoring based on an integrated knowledge of therapeutics, medicinal chemistry, and pharmacology.",Utilize an evidence-based approach to therapeutic management of the conditions of primary focus.,Identify and locate sources of information needed to solve drug related problems.,Critically evaluate the appropriateness and reliability of information from literature resources.,Synthesize information gained from various literature resources to solve problems or make recommendations.,Develop and practice skills for measuring blood pressure and heart rate.,Utilize self-directed learning abilities.,Work effectively in a healthcare team.,"Develop a caring, empathic attitude for patients experiencing the conditions of primary focus.",Develop an appreciation of the interdisciplinary nature of patient care.,Accept responsibility for keeping abreast of emerging technologies and drug,,,,,,,,,,,,,,,,,,,,,,,
PHARM 387 (LEC B1 Wi16),PHARM 387 PEDIATRICS / GERIATRICS (LEC B1 Wi16),2016,Winter,Faculty of Pharmacy and Pharmaceutical Sciences,,,Cheryl Sadowski,,5,23,Describe the challenges of providing care in a population with limited evidence.,"Describe the pharmacoepidemiology, including prescription, non-prescription medication, and natural health products.","Describe risks for adverse drug events in pediatric and geriatric patients, and explain why they are more susceptible to adverse events.",Identify and describe age-appropriate communication strategies.,"Describe the role that culture, religion, and ethnicity may play in health and decision making.",Identify controversial health issues involving pediatric and geriatric populations,"Define and be able to use the following terms in a clinical context: geriatrics, gerontology, elderly, aging, frailty.",Describe common stereotypes and biases toward aging in our western society.,"Explain the demographics of aging, and how that may impact society and the healthcare system.",Briefly describe the psychosocial aspects of aging and be able to explain the role of the pharmacist in dealing with these aspects.,Describe the physiologic alterations associated with normal aging that modify drug response in the elderly patient.,"Describe the pharmacokinetic and pharmacodynamic changes associated with aging, and apply the principles to medications commonly used in geriatrics.",List the most common chronic diseases and causes of death in seniors.,Contrast disease presentation between the young adult and the elderly adult.,Identify medications that are considered inappropriate or high risk in older adults and explain why they are inappropriate or high risk.,Describe how criteria were developed to classify medications as appropriate or inappropriate in seniors.,Define polypharmacy and underutilization in terms of medications in seniors.,Contrast the presentation of adverse events in the elderly compared to the young adult.,Describe the impact of falls on the senior population.,Identify risk factors for falls in older individuals.,Describe appropriate interventions for falls.,Contrast how a geriatric syndrome is different than a disease state.,List the common geriatric syndromes.,Discuss the role of the pharmacist in medication management of seniors.,Identify methods of appropriately communicating with older adults who are hard of hearing.,Describe the role of the pharmacist in working with home care.,Identify appropriate home care supports for a given patient.,Categorize the types of abuse commonly suffered by seniors.,Describe the role of the pharmacist in reducing elder abuse.,"Explain the demographics of the pediatric population in society, and explain how that may impact our role as pharmacists. (e.g. improvement of childhood illnesses, trend towards chronic disease management)","Identify and discuss some of the challenges involved in treating the pediatric population; including communication strategies, presentation of illness and the management and administration of medications to infants and children.",Discuss the importance of medication safety and identify measures used to ensure safe medication practices,Review pediatric toxicology and discuss preventative interventions that pharmacists can promote to patients or utilize in their practice to minimize pediatric toxicological poisonings or incidences.,Discuss basic neonatal care and challenges including premature birth.,Explain how pharmacokinetic parameters are different in infants and children versus adults.,"Explain the significant differences in physiologic parameters between adolescents, children, toddlers and infants; including premature babies, and neonates",Identify and discuss appropriate management plans for common pediatric illnesses such as teething and fevers.,"Identify and discuss appropriate management plans for common pediatric gastrointestinal illnesses (e.g. vomiting, diarrhea, dehydration, colic, and constipation).",Discuss presentation and treatment for common pulmonary pediatric illnesses; Croup and Bronchiolitis.,"Describe the various forms of pediatric abuse and discuss the Child, Youth and Family Enhancement Act and the responsibilities that are associated with the Act",Discuss the management and implications involved with a diagnosis of autism.,Use tools to assess medication appropriateness and medication management in seniors.,Be able to triage patients in a community setting and refer them to medical attention as appropriate.,Apply applicable pharmacokinetic parameters to monitor patients and assess appropriate use of medications.,Apply knowledge and skills to establish safe and effective drug use.,Utilize when available an evidence based approach to therapeutic management of pediatric and geriatric patients.,Identify sources of information needed to solve drug related problems specific to the populations being studied.,Identify and be able to recommend aids to assist in medication management and administration.,"Empathize with children, older adults, and caregivers regarding challenging decision-making.",Take and defend a position on a controversy related to pediatrics and geriatrics using evidence-based arguments.,Collaborate with peers to prepare and present an argument.,Communicate position through oral presentation and debate.,"Develop a caring, empathic attitude for and response to pediatric and geriatric patients","Develop an appreciation of the comprehensive, interdisciplinary nature of patient care for children and older adults",Appreciate the challenges related to decision making and advocacy in grey areas of clinical practice and health.,,,
PHARM 499 (LEC B1 Wi16),PHARM 499 WOMEN'S & MEN'S HEALTH (LEC B1 Wi16),2016,Winter,Faculty of Pharmacy and Pharmaceutical Sciences,,,NesÃ© Yuksel,,4,27,Explain the anatomy of the female and male reproductive systems.,Describe the physiology of the female and male reproductive systems.,"Describe the epidemiology, etiology, and risk factors of the conditions of focus (see list above).","Describe the pathophysiology of the conditions of focus including clinical presentation, symptomatology and health consequences.",Describe the medicinal chemistry and therapeutic principles in selecting and monitoring drug therapy for the management of the conditions of focus.,Describe pharmacokinetic and pharmacodynamic principles to the treatment of the conditions of focus.,"Describe the pharmacology, including mechanisms, efficacy, toxicology, side effect profiles, and role of each for the drugs and drug classes associated with the conditions of focus.",Describe the specific laboratory tests used in the diagnosis and monitoring of the conditions of focus.,"Describe the therapeutic approach incorporating non-pharmacologic and pharmacologic treatments of the conditions of focus including use of specific target drugs for condition as well as alternative therapies (dose, route of administration, length of therapy, monitoring parameters).",Discuss the role of Complementary and Alternative Medicines (CAM) for womens and mens health and describe the efficacy.,Discuss the methods of contraception available for men and women and describe the efficacy of each.,Describe the societal and economic impact of the conditions of focus.,Identify ethical issues surrounding treatment of the conditions of focus.,Describe the role and the responsibility of the pharmacist within the course of the  state and its therapy.,Identify applicable health system resources.,"Apply concepts and knowledge of medicinal chemistry, pharmacology and therapeutic principles in selecting and monitoring drug therapy for the management of the conditions of focus.",Apply pharmacokinetic and pharmacodynamic principles to the treatment of the conditions of focus.,Identify actual and potential drug related problems relating to the conditions of focus and in patient cases.,"Discuss alternatives (drug, non-drug), recommendations, implementation, monitoring and follow up for patients with the conditions of focus.","Utilize an evidence based approach to the therapeutic management of the conditions of primary focus, including use of drug, non-drug and complementary and alternative medicines.",Discuss monitoring parameters for each of the disease of focus.,Utilize self-directed learning abilities.,Develop an appreciation of the interdisciplinary nature of patient care.,Accept responsibility for keeping abreast of emerging technologies and drugs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 351 (LEC A1 Fa16),PHARM 351 BIOPHARMACEUTICS&PHARMACOKINET (LEC A1 Fa16),2016,Fall,Faculty of Pharmacy and Pharmaceutical Sciences,BSc in Pharmacy,2,Dr. Dion Brocks,,4,36,"Comprehend one and two compartmental models, including the underlying reasons for the appearance of more than one compartment in a plasma concentration vs. time profile.","Use the knowledge obtained from determination of pharmacokinetic parameters to devise an individualized dosing regimen for a patient, tailored to achieve a therapeutic goal of concentration and/or effect.",Comprehend concepts related to nonlinear elimination of drug.,Recognize factors that can influence the relationship between plasma concentrations and pharmacodynamics potency of drugs,Recognize the relationship between pharmacokinetics and therapeutic relevance in: a. Extremes of age b. Genetic differences in drug metabolism (polymorphism) c. Diminished renal function d. Concomitant administration of interacting drugs e. Drug disposition in maternal and infants (pregnancy and breastmilk,"Explain the following pharmacokinetic concepts:a. First and zero order rate processes. b. Rates, rate constants, and intercepts. c. Total body clearance (CL). d. Volume of distribution (Vd).","Understand the relationship between organ clearance and total body clearance, and detail the mechanisms involved in renal and hepatic drug clearance of a particular drug.","Identify the relationships between different pharmacokinetic parameters and blood fluid concentrations after drug administration by the intravenous, oral and injectable routes.",Grasp the concept of steady state and its dependency on half-life in relation to constant intravenous infusion and repeated dose administration.,"Determine CL, Vd, and other dependent pharmacokinetic parameters (half-life, maximum concentration after dosing, area under the concentration vs. time curve) from plasma concentration vs. time data.","Use knowledge related to measures of organ clearance to predict changes in blood levels when physiological 3 factors or clinical conditions are present that may affect blood flows, intrinsic clearance and transporter function.",Become proactive in including and considering concepts of therapeutic drug monitoring in practice skills.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
