Short Name,Full Name,Year,Term,Faculty,Course Types,Credits,Instructors,TAs,Assessment count,Session count,Course outcomes: all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 452 (LEC A1 Fa16),PHARM 452 PHARM PRACTICE-DESIGN&FUNCTION (LEC A1 Fa16),2017,Fall,Faculty of Pharmacy and Pharmaceutical Sciences,BSc in Pharmacy,3,Cheryl Sadowski,,7,14,"Identify health, medication management and safety needs for patients.",Identify aspects of design that impact patient ability to manage medications.,Consider disease and functional/disability information as relevant to the specific design needs. ,Describe features of universal design.,Classify forms of disability and identify functional supports associated with those disabilities.,"Explain the current approach to pharmacy visits for individuals with disabilities, as completed by Alberta Committee on Citizens with Disabilities (ACCD).","Develop design features that ensure patients’ medication access, safety, health and medication management/monitoring","Demonstrate patient/client-centered (individual, family, community group) approach in design.","Develop writing and presentation skills (oral, written) to demonstrate effectively the team’s final design in front of peers, clients, or experts in design and health services.",Actively listen and engage in negotiation with clients to effectively plan the approach for the project.,"Professional Roles a.	Share and evaluate own professional values and culture (translates knowledge to team members) b.	Articulate and share knowledge of other professional roles c.	Consult, seeks advice and confer with other professionals d.	Adapt professional role within a given context/ environment","Communication  a.	Integrate feedback into professional and team practice b.	Match level and mode of communication to the needs of team members c.	Actively listen and be receptive to the knowledge and opinions of others d.	Analyze conflict effectively and employ appropriate conflict resolution techniques/models e.	Develop presentations that consider the audience background, context, and learning needs","Collaboration a.	Identify and employ appropriate technologies to facilitate collaboration b.	Employ appropriate team role behaviours to support team function c.	Takes action in instances where there is a lack of inclusivity, respect, or trust on the team d.	Identify opportunities to improve team outcomes  e.	Negotiate action with team members to plan and execute team tasks","Reflection a.	Takes action based on reflection to improve personal and team performance  b.	Reflect on pharmacists’ contribution to the process. c.	Explore strengths and weaknesses in team composition and process","Express empathy for those experiencing disabilities, impairments, or handicaps.",Listen to others with respect.,Appreciates the role of advocacy for those who are vulnerable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 382 (LEC B1 Wi17),PHARM 382 PROV/CDN HEALTHCARE (LEC B1 Wi17),2017,Winter,Faculty of Pharmacy and Pharmaceutical Sciences,BSc in Pharmacy,2,Jody Shkrobot,,5,10,"Describe the components of the healthcare system and how they interrelate as it pertains to the delivery of healthcare services in Canada and more specifically, Alberta.","List the names and describe the function of relevant health professional associations, government agencies, advocacy groups, and private sector players as it pertains to the delivery of health care in Canada with particular emphasis on organizations that impact the profession of pharmacy.",Describe some of the strategies that pharmacists and pharmacy organizations use to influence others within the Canadian healthcare system.,Identify and debate key issues and challenges facing the Canadian healthcare system.,Develop and debate solutions to some of the challenges facing the Canadian healthcare system with emphasis on how pharmacists and pharmacies can be a part of those solutions.,"Develop an appreciation for the recommendations made by current (i.e. within the past 10 years) studies, reports and reviews of the Canadian and Albertan health systems.",Develop an appreciation of the different pharmacy service delivery models in different provincial and relevant international jurisdictions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 300A (LEC C1 Fa16),PHARM 300A EXPERIENTIAL LEARNING,2017,Fall,Faculty of Pharmacy and Pharmaceutical Sciences,BSc in Pharmacy,1,"Cox, Cheryl",,6,7,Develop an understanding of the role and expectations of experiential learning in the curriculum ,Explore the understanding of professionalism as the ability to identify and negotiate the expectations of others,Demonstrate critical thinking and reflection to optimize learning from experience and care for clients,Develop the ability to build collaborative relationships with clients and staff,"Through collaborative relationships, demonstrate the ability to determine the needs and perspectives of the client /resident","Through critical reflection, enhance understanding of multiple perspectives and factors which inform person-centred care realizing the complexity and challenges",Demonstrate the provision of person-centred care for clients to enhance quality of life and fulfill professional obligations to individual(s) at the site,Explore how the critical thinking/reflective practice of person-centred care in Pharm 300 relates to the reflective practice of client centered care in pharmacy,Demonstrate initiative in service and learning ,Practice in an ethical manner to assure primary accountability to the client ,Explore the meanings of citizenship and community engagement within one’s experiences as a volunteer and professional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 316 (Spring 2017 CLN 800 801 802),PHARM 316 Sp17 - EXPERIENTIAL LEARNING PART 3 Combined CLN Sp17,2017,Spring,Cross Listed Courses,"Experiential,",4,"Thompson, Ann",,0,0,"Provide seamless care by participating in discharge planning/transitions in care (i.e. patient education, discharge med rec, documentation/charting, verbal handover).","Participate in site-based advocacy activities (e.g. immunizations, patient education, education strategies regarding appropriate use of medications, disaster planning (i.e. pandemic, floods), how to handle drug shortages)","Use appropriate resources to answer questions posed by patients, the preceptor, team members or the student (i.e. evidence to support patient care decisions); may require preceptor guidance.",Prepare and deliver a case presentation to pharmacists and/or other healthcare providers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 426 (CLN 850 Su16),PHARM 426 EXPERIENTIAL BLK 2 (Su16),2017,Summer,Faculty of Pharmacy and Pharmaceutical Sciences,,8,Marlene Gukert,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 305 (CLN 850 Su16),PHARM 305 EXPERIENTIAL LEARNING,2017,Fall,Faculty of Pharmacy and Pharmaceutical Sciences,,4,Marlene Gukert,,0,0,"Use appropriate resources to answer questions posed by patients, the preceptor, team members or the student (i.e. evidence to support patient care decisions); may require preceptor guidance.",Question and develop knowledge in new areas related to practice and patient care.,"Use appropriate resources to answer questions posed by patients, the preceptor, team members or the student (i.e. evidence to support patient care decisions); may require preceptor guidance.",Question and develop knowledge in new areas related to practice and patient care.,Engage in continuous professional development through development of learning goals and objectives and the creation of a professional portfolio.,Display patient-centered approach to practice e.g. demonstration of patient accountability.,Communicate clearly verbally/non-verbally and in writing with team members and patients.,Perform patient interviews o Systematically gather patient information; including completing Best Possible Medication Histories and medication reconciliation. (This should be completed initially with direct preceptor supervision with progression to independence as appropriate.),"Assess drug therapies by completing pharmacotherapy workups and care plans with preceptor guidance for a minimum of 3 patients using the elements of the Patient Care Process. o Work through care process (identifying drug related problems, planning care) o Develop decision-making skills required to determine next steps and plan care.",Implement care plans with preceptor guidance.,"Schedule and complete follow-up (where possible) and evaluate patient outcomes, with preceptor supervision; determine next steps with preceptor.",Document care provided to support continuity of care; review/revise under preceptor guidance.,Educate patients regarding conditions already learned in the curriculum; complete initially with direct preceptor supervision with progression to independence as appropriate.,"Identify and discuss patient-focused pharmacy services that are opportunities to provide patient care. e.g. medication and adherence strategies; flavorings, blister packs, etc.","Identify and discuss services eligible for reimbursement by Alberta Health and described under the Alberta Pharmacist’s Association Pharmacy Services Framework. http://www.rxa.ca/pharmacy-services-framework/for-the-pharmacist.aspx (Rx adaptation or renewal, emergency prescribing, Comprehensive Annual Care Plans (CACP) and Standard Medication Management Assessments (SMMA), administration of drugs by injection, prescribing at initial access.",Participate in health promotion activities.,Prioritize activities in daily practice to optimize patient care.,Identify and check for required components of prescriptions.,"Identify important components of patient computer profile, and participate in keeping these up-to-date.",Describe and participate in distribution system processes with emphasis on the quality assurance procedures involved.,Identify efforts required to ensure safe medication distribution and develop an understanding of the importance of each step.,Participate in compounding topical and liquid preparations as opportunities arise.,Engage in continuous professional development through development of learning goals and objectives and the creation of a professional portfolio.,Display patient-centered approach to practice e.g. demonstration of patient accountability.,Communicate clearly verbally/non-verbally and in writing with team members and patients.,Perform patient interviews o Systematically gather patient information; including completing Best Possible Medication Histories and medication reconciliation. (This should be completed initially with direct preceptor supervision with progression to independence as appropriate.),"Assess drug therapies by completing pharmacotherapy workups and care plans with preceptor guidance for a minimum of 3 patients using the elements of the Patient Care Process. o Work through care process (identifying drug related problems, planning care) o Develop decision-making skills required to determine next steps and plan care.",Implement care plans with preceptor guidance.,"Schedule and complete follow-up (where possible) and evaluate patient outcomes, with preceptor supervision; determine next steps with preceptor.",Document care provided to support continuity of care; review/revise under preceptor guidance.,Educate patients regarding conditions already learned in the curriculum; complete initially with direct preceptor supervision with progression to independence as appropriate.,"Identify and discuss patient-focused pharmacy services that are opportunities to provide patient care. e.g. medication and adherence strategies; flavorings, blister packs, etc.","Identify and discuss services eligible for reimbursement by Alberta Health and described under the Alberta Pharmacist’s Association Pharmacy Services Framework. http://www.rxa.ca/pharmacy-services-framework/for-the-pharmacist.aspx (Rx adaptation or renewal, emergency prescribing, Comprehensive Annual Care Plans (CACP) and Standard Medication Management Assessments (SMMA), administration of drugs by injection, prescribing at initial access.",Participate in health promotion activities.,Prioritize activities in daily practice to optimize patient care.,Identify and check for required components of prescriptions.,"Identify important components of patient computer profile, and participate in keeping these up-to-date.",Describe and participate in distribution system processes with emphasis on the quality assurance procedures involved.,Identify efforts required to ensure safe medication distribution and develop an understanding of the importance of each step.,Participate in compounding topical and liquid preparations as opportunities arise.,"Discuss application of code of ethics and standards of practice in a community practice setting; including the importance of confidentiality and ethical dilemmas within patient care (e.g. caregiver concerns, elderly living in the community, family tensions.)",Act and dress professionally; e.g. demonstrate initiative.,Engage respectfully with patients and team members of various special populations and cultures.,Develop professional rapport with patients and other healthcare professionals.,Develop a basic understanding of the importance of inter-professional practice.,"Collaborate with pharmacy team members and staff as well as patients, and other care professionals to optimize patient care.",Recognize and respect the roles and responsibilities of pharmacy team members in a community pharmacy practice.,Develop an understanding of advocacy and leadership roles (e.g. health promotion),Promote patient self-care where appropriate.,"Discuss application of code of ethics and standards of practice in a community practice setting; including the importance of confidentiality and ethical dilemmas within patient care (e.g. caregiver concerns, elderly living in the community, family tensions.)",Act and dress professionally; e.g. demonstrate initiative.,Engage respectfully with patients and team members of various special populations and cultures.,Develop professional rapport with patients and other healthcare professionals.,Develop a basic understanding of the importance of inter-professional practice.,"Collaborate with pharmacy team members and staff as well as patients, and other care professionals to optimize patient care.",Recognize and respect the roles and responsibilities of pharmacy team members in a community pharmacy practice.,Develop an understanding of advocacy and leadership roles (e.g. health promotion),Promote patient self-care where appropriate.
PHARM 437 (Winter 2017 LEC B1 B2 SEM J1 J2),PHARM 437 Wi17 - BONE AND JOINT Combined LEC SEM Wi17,2017,Winter,Cross Listed Courses,"Therapeutics,, BSc in Pharmacy, 3rd year",2,Michael R. Doschak,,3,24,Describe the Axial and Appendicular skeleton and related joint structures,"Compare and contrast the major rheumatological conditions encountered in clinical practice, with particular emphasis on 5 conditions of major focus (Osteoarthritis, Osteoporosis, Osteomalacia, Rheumatoid Arthritis, Gout & Hyperuricemiua)","Describe the medicinal chemistry and pharmacology of antiresorptive and anabolic bone drugs, and the disease-modifying anti-rheumatic drugs (DMARDs)",Show competency in counseling clients/patients on the short- and long-term drug management of rheumatic conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 489 (SEM A1 Fa16),PHARM 489 THERAP & PROF PRACT (SEM A1 Fa16),2017,Fall,Faculty of Pharmacy and Pharmaceutical Sciences,BSc in Pharmacy,3,Sherif Mahmoud,,5,15,Demonstrate the ability to research and develop practical therapeutic knowledge for the management of several disease states.,"Demonstrate in-depth knowledge of a controversial topic, critical thinking skills, decision-making skills, and verbal communication skills.",Demonstrate use of a therapeutic process to identify and prioritize actual and/or potential drug-related problems using a patient care centered approach., Answer a focused clinical question and create a patient care plan using a systematic problem-solving approach.,"Demonstrate refinement of critical appraisal, written and oral communication skills.",Incorporate principles of evidence-based medicine into therapeutic decision making.,Demonstrate a confident and competent approach to solving patient concerns.,Utilize a seamless care approach to promote optimal patient outcomes in acute and chronic care settings.,Apply appropriate documentation skills to facilitate care throughout a variety of settings.,"Demonstrate appropriate presentation skills (i.e. content, language) through case presentations.",Demonstrate self-directed learning abilities and team skills.,Accept responsibility of keeping current with emerging therapeutic modalities.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 316 (Spring 2016 CLN 800 801 802),PHARM 316 Sp16 - EXPERIENTIAL LEARNING PART 3 Combined CLN Sp16,2017,Spring,Cross Listed Courses,"Experiential,",4,Marlene Gukert,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 392 (Winter 2016 LEC B1 B2 SEM J1 J2),PHARM 392 Wi16 - PHARMACOEPIDEMIOLOGY/PRACT RSC Combined LEC SEM Wi16,2017,Winter,Cross Listed Courses,"Pharmacy Practice,",3,Scot H. Simpson,,4,24,Identify the inherent limitations of the drug approval process and pre-­marketing clinical trials with regard to assessment of drug safety and effectiveness.,Define type I and type II errors and power.,"When trying to detect a difference in risk, describe what can influence a study sample size.",Describe why we need adverse drug reaction reporting systems and how pharmacists can contribute to this process.,Compare type A and type B drug reactions and explain which drug reactions are the focus of pharmacoepidemiologic studies.,Define what a safety signal is and how it may be generated.,Describe the various data sources used in pharmacoepidemiologic studies. Examples will be presented to highlight the advantages and limitations of each data source.,"Describe the major elements of cross-­sectional, case-­control, cohort, and other common designs of pharmacoepidemiologic studies that evaluate drug safety, effectiveness, and utilization patterns.",Identify the advantages and limitations of each pharmacoepidemiologic study design. Examples of different studies will be used to illustrate these elements.,"Interpret different measures of association reported in pharmacoepidemiologic studies (e.g. odds ratio, relative risk, hazard ratio).",Categorize and describe common types of bias that threaten internal validity of pharmacoepidemiologic studies.,Understand how specific biases may affect measures of association.,Define confounding and how it can affect the interpretation of a measure of association.,Describe methods used to minimize the effects of confounding and other limitations in pharmacoepidemiologic studies.,Define and interpret effect modification when it occurs.,"List Sir Bradford-­Hill’s considerations for inferring causation from observational data, and describe the difference between causal and spurious associations.",Explain the rationale for meta-­analyses.,Describe the major elements of a meta-­analysis.,Explain how we can use pharmacoepidemiologic studies to assess the suspected causal relationship between a drug and an adverse reaction.,Explain each step involved in a continuous quality improvement process.,Define the term knowledge translation and describe the phases of the knowledge-­to-­action cycle.,Describe different study designs that are commonly used in pharmacy practice research. Examples will be used to illustrate the advantages and limitations of these different study designs.,Identify the common measures used in pharmacoeconomic studies.,Describe the major elements of a survey.,Describe common biases that can affect the interpretation of survey data.,Explain how the guiding ethical principles from the Tri-­Council Policy Statement (TCPS) apply when conducting practice based research.,"Demonstrate critical appraisal skills to assess validity, relevance, and applicability of the pharmacoepidemiologic literature.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 426 (Fall 2016 CLN 800 801),PHARM 426 Fa16 - EXPERIENTIAL LEARNING Fa16 - PART 4 Combined CLN Fa16,2017,Fall,Cross Listed Courses,"Experiential,",3,Scot H. Simpson,,0,0,Determines appropriate search terms for a given question.,"Uses multiple and appropriate sources to gather information. (e.g. guidelines, primary, secondary and tertiary sources)",Documents and references recommendations where applicable.,Critically analyzes information and demonstrates clinical judgment.,Responds with an appropriate recommendation based on analysis of evidence/information. ,"Under conditions of uncertainty, weighs the pros and cons of alternatives to make decisions; may require preceptor support.",Logically defends recommendation(s).,"Facilitates patient’s interaction with the health care system through advice, education and/or guidance with minimal preceptor guidance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
