Short Name,Full Name,Faculty,Category,Instructors,TAs,Assessment title,Assessment type,Format,weight,due date,Specific objectives,Course Outcomes: all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 452 (LEC A1 Fa16),PHARM 452 PHARM PRACTICE-DESIGN&FUNCTION (LEC A1 Fa16),Faculty of Pharmacy and Pharmaceutical Sciences,", BSc in Pharmacy, ",Cheryl Sadowski,,Design Presentation to Clients – Interim (IP teams),Assignment,N/A,5,2016-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 452 (LEC A1 Fa16),PHARM 452 PHARM PRACTICE-DESIGN&FUNCTION (LEC A1 Fa16),Faculty of Pharmacy and Pharmaceutical Sciences,", BSc in Pharmacy, ",Cheryl Sadowski,,Design Portfolio ,Assignment,N/A,15,2016-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 452 (LEC A1 Fa16),PHARM 452 PHARM PRACTICE-DESIGN&FUNCTION (LEC A1 Fa16),Faculty of Pharmacy and Pharmaceutical Sciences,", BSc in Pharmacy, ",Cheryl Sadowski,,Journal,Assignment,N/A,15,2016-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 452 (LEC A1 Fa16),PHARM 452 PHARM PRACTICE-DESIGN&FUNCTION (LEC A1 Fa16),Faculty of Pharmacy and Pharmaceutical Sciences,", BSc in Pharmacy, ",Cheryl Sadowski,,Analytical essay,Assignment,N/A,15,2016-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 452 (LEC A1 Fa16),PHARM 452 PHARM PRACTICE-DESIGN&FUNCTION (LEC A1 Fa16),Faculty of Pharmacy and Pharmaceutical Sciences,", BSc in Pharmacy, ",Cheryl Sadowski,,Pharmacy Presentation ,Assignment,N/A,5,2016-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 452 (LEC A1 Fa16),PHARM 452 PHARM PRACTICE-DESIGN&FUNCTION (LEC A1 Fa16),Faculty of Pharmacy and Pharmaceutical Sciences,", BSc in Pharmacy, ",Cheryl Sadowski,,Pharmacy Continuing Professional Development Program Draft (collaborative with pharmacy team members),Assignment,N/A,30,2016-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 452 (LEC A1 Fa16),PHARM 452 PHARM PRACTICE-DESIGN&FUNCTION (LEC A1 Fa16),Faculty of Pharmacy and Pharmaceutical Sciences,", BSc in Pharmacy, ",Cheryl Sadowski,,Design Presentation - Final ,Assignment,N/A,15,2016-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 382 (LEC B1 Wi17),PHARM 382 PROV/CDN HEALTHCARE (LEC B1 Wi17),Faculty of Pharmacy and Pharmaceutical Sciences,", BSc in Pharmacy, ",Jody Shkrobot,,Team Debate (Group) – Peer evaluation,Other,N/A,5,2017-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 382 (LEC B1 Wi17),PHARM 382 PROV/CDN HEALTHCARE (LEC B1 Wi17),Faculty of Pharmacy and Pharmaceutical Sciences,", BSc in Pharmacy, ",Jody Shkrobot,,Final Exam,Exam,Written and multiple choice,50,2017-04-18,,"Describe the components of the healthcare system and how they interrelate as it pertains to the delivery of healthcare services in Canada and more specifically, Alberta.","List the names and describe the function of relevant health professional associations, government agencies, advocacy groups, and private sector players as it pertains to the delivery of health care in Canada with particular emphasis on organizations that impact the profession of pharmacy.",Describe some of the strategies that pharmacists and pharmacy organizations use to influence others within the Canadian healthcare system.,Identify and debate key issues and challenges facing the Canadian healthcare system.,Develop and debate solutions to some of the challenges facing the Canadian healthcare system with emphasis on how pharmacists and pharmacies can be a part of those solutions.,"Develop an appreciation for the recommendations made by current (i.e. within the past 10 years) studies, reports and reviews of the Canadian and Albertan health systems.",Develop an appreciation of the different pharmacy service delivery models in different provincial and relevant international jurisdictions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 382 (LEC B1 Wi17),PHARM 382 PROV/CDN HEALTHCARE (LEC B1 Wi17),Faculty of Pharmacy and Pharmaceutical Sciences,", BSc in Pharmacy, ",Jody Shkrobot,,Midterm Exam,Exam,Written and multiple choice,30,2017-02-27,,"Describe the components of the healthcare system and how they interrelate as it pertains to the delivery of healthcare services in Canada and more specifically, Alberta.","List the names and describe the function of relevant health professional associations, government agencies, advocacy groups, and private sector players as it pertains to the delivery of health care in Canada with particular emphasis on organizations that impact the profession of pharmacy.",Describe some of the strategies that pharmacists and pharmacy organizations use to influence others within the Canadian healthcare system.,Identify and debate key issues and challenges facing the Canadian healthcare system.,Develop and debate solutions to some of the challenges facing the Canadian healthcare system with emphasis on how pharmacists and pharmacies can be a part of those solutions.,"Develop an appreciation for the recommendations made by current (i.e. within the past 10 years) studies, reports and reviews of the Canadian and Albertan health systems.",Develop an appreciation of the different pharmacy service delivery models in different provincial and relevant international jurisdictions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 382 (LEC B1 Wi17),PHARM 382 PROV/CDN HEALTHCARE (LEC B1 Wi17),Faculty of Pharmacy and Pharmaceutical Sciences,", BSc in Pharmacy, ",Jody Shkrobot,,Team Debate (Group) – Instructor evaluation,Exam,Multiple choice,10,2017-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 382 (LEC B1 Wi17),PHARM 382 PROV/CDN HEALTHCARE (LEC B1 Wi17),Faculty of Pharmacy and Pharmaceutical Sciences,", BSc in Pharmacy, ",Jody Shkrobot,,Peer Assessment,Other,N/A,5,2017-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 300A (LEC C1 Fa16),PHARM 300A EXPERIENTIAL LEARNING,Faculty of Pharmacy and Pharmaceutical Sciences,", BSc in Pharmacy, ","Cox, Cheryl",,Seminar #1 Self-Assessment ,Other,N/A,0,2016-11-08,,Develop an understanding of the role and expectations of experiential learning in the curriculum ,Explore the understanding of professionalism as the ability to identify and negotiate the expectations of others,"Through critical reflection, enhance understanding of multiple perspectives and factors which inform person-centred care realizing the complexity and challenges",Demonstrate initiative in service and learning ,Demonstrate critical thinking and reflection to optimize learning from experience and care for clients,Develop the ability to build collaborative relationships with clients and staff,Practice in an ethical manner to assure primary accountability to the client ,Explore the meanings of citizenship and community engagement within one’s experiences as a volunteer and professional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 300A (LEC C1 Fa16),PHARM 300A EXPERIENTIAL LEARNING,Faculty of Pharmacy and Pharmaceutical Sciences,", BSc in Pharmacy, ","Cox, Cheryl",,Seminar #2 Self-Assessment,Other,N/A,0,2016-12-08,,"Through critical reflection, enhance understanding of multiple perspectives and factors which inform person-centred care realizing the complexity and challenges",Demonstrate the provision of person-centred care for clients to enhance quality of life and fulfill professional obligations to individual(s) at the site,Explore how the critical thinking/reflective practice of person-centred care in Pharm 300 relates to the reflective practice of client centered care in pharmacy,Demonstrate critical thinking and reflection to optimize learning from experience and care for clients,Develop the ability to build collaborative relationships with clients and staff,"Through collaborative relationships, demonstrate the ability to determine the needs and perspectives of the client /resident",Practice in an ethical manner to assure primary accountability to the client ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 300A (LEC C1 Fa16),PHARM 300A EXPERIENTIAL LEARNING,Faculty of Pharmacy and Pharmaceutical Sciences,", BSc in Pharmacy, ","Cox, Cheryl",,Self-Assessment,Other,N/A,0,2017-03-24,,"Through critical reflection, enhance understanding of multiple perspectives and factors which inform person-centred care realizing the complexity and challenges",Demonstrate the provision of person-centred care for clients to enhance quality of life and fulfill professional obligations to individual(s) at the site,Explore the meanings of citizenship and community engagement within one’s experiences as a volunteer and professional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 300A (LEC C1 Fa16),PHARM 300A EXPERIENTIAL LEARNING,Faculty of Pharmacy and Pharmaceutical Sciences,", BSc in Pharmacy, ","Cox, Cheryl",,Seminar #3 Assignment,Assignment,N/A,0,2017-02-17,,Demonstrate the provision of person-centred care for clients to enhance quality of life and fulfill professional obligations to individual(s) at the site,"Through collaborative relationships, demonstrate the ability to determine the needs and perspectives of the client /resident",Explore the meanings of citizenship and community engagement within one’s experiences as a volunteer and professional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 300A (LEC C1 Fa16),PHARM 300A EXPERIENTIAL LEARNING,Faculty of Pharmacy and Pharmaceutical Sciences,", BSc in Pharmacy, ","Cox, Cheryl",,Presentation ,Other,N/A,0,2017-03-01,,Demonstrate the provision of person-centred care for clients to enhance quality of life and fulfill professional obligations to individual(s) at the site,"Through collaborative relationships, demonstrate the ability to determine the needs and perspectives of the client /resident",Explore the meanings of citizenship and community engagement within one’s experiences as a volunteer and professional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHARM 300A (LEC C1 Fa16),PHARM 300A EXPERIENTIAL LEARNING,Faculty of Pharmacy and Pharmaceutical Sciences,", BSc in Pharmacy, ","Cox, Cheryl",,Seminar #2 Person-Centred Care  and Collaboration ,Assignment,N/A,0,2016-12-08,,Demonstrate the provision of person-centred care for clients to enhance quality of life and fulfill professional obligations to individual(s) at the site,Explore how the critical thinking/reflective practice of person-centred care in Pharm 300 relates to the reflective practice of client centered care in pharmacy,Develop the ability to build collaborative relationships with clients and staff,"Through collaborative relationships, demonstrate the ability to determine the needs and perspectives of the client /resident",Explore the meanings of citizenship and community engagement within one’s experiences as a volunteer and professional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
